Primary mononuclear cells from peripheral blood	Primary T CD8+ memory cells from peripheral blood	Primary T CD8+ naive cells from peripheral blood	Primary T cells effector/memory enriched from peripheral blood	Primary T cells from cord blood	Primary T cells from peripheral blood	Primary T helper 17 cells PMA-I stimulated	Primary T helper cells from peripheral blood	Primary T helper cells PMA-I stimulated	Primary T helper memory cells from peripheral blood 1	Primary T helper memory cells from peripheral blood 2	Primary T helper naive cells from peripheral blood	Primary T helper naive cells from peripheral blood	Primary T regulatory cells from peripheral blood
1_TssA	0.336708625921948	0.849779894301784	0.755102193339749	0.966889327156168	0.822388738809038	0.597503865180058	0.408103153424453	0.507498617391587	0.763666849402752	0.659108664561962	0.787823553901947	0.854034638828989	0.573887965673991	0.603647736309998
10_TssBiv	0.0770222630389415	0.0143762235726982	0.0172773149733652	0.0319614668686643	0.119047880723519	0.0265518197887548	0.0178047804736511	0.0167935266669773	0.0268169235009889	0.00773766842068472	0.00655054182652846	0.0128373373076323	0.0249707648615617	0.0473914689201208
11_BivFlnk	0.0882326951593354	0.0208389295824432	0.0249268132058476	0.0532398024456018	0.0666017501093544	0.181686541700204	0.0453692183921184	0.0970683426195967	0.101728460625063	0.0255870626184006	0.018332724440687	0.022553267256217	0.0669990240299649	0.144988000462484
12_EnhBiv	0.0710873283869683	0.0725845416468646	0.113423594481634	0.0695062986511118	0.0577215167614404	0.593195788459366	0.114610031345206	0.156065496512486	0.182706777164115	0.152247418981995	0.0728912640831154	0.0676158382847207	0.0951350971134148	0.0979921931567246
13_ReprPC	0.908836326372168	0.216566597306151	0.463893708903181	0.243645735056585	2.02407774160719	4.16533870934417	0.672581077694786	0.873878856246532	1.09443821402806	0.491957441065125	0.147848806460505	0.173655761524478	0.431229282618062	1.16175042456689
14_ReprPCWk	13.4643004888188	6.64405745389607	10.6174156214184	6.53979092716391	13.813378818885	30.1361835803371	12.2965968689964	13.6026247139166	15.1869513246461	11.0489508644866	5.53094339672411	4.62702479320676	7.36619978370394	14.5235948407484
15_Quies	55.6357040393165	69.297090595268	64.0588765173153	67.4645456327975	50.0567763434101	36.106430595785	60.1838948067192	55.180583166204	53.899290582468	64.2709203912622	70.1747236132965	70.3985070000857	63.4951597161774	55.9904707098301
2_TssAFlnk	0.900483455380502	0.789153556972271	0.710304269782855	0.666882380922653	1.13825248437716	0.844251157356019	0.959567761477489	1.22386122743974	1.34519842984715	0.794473897898827	0.81710315696549	0.893865555269793	1.0876790377463	1.11752424856166
3_TxFlnk	0.0457209780596457	0.0416778591648865	0.0218494288594466	0.0426885616636493	0.0986497209540536	0.0880078530084223	0.558850294768032	0.0525347234739212	0.243726268671283	0.0332807670139678	0.0312139912539276	0.0583395431754385	0.290768730271777	0.185433409930491
4_Tx	9.00940665161098	2.23592042342595	2.58671739368406	5.78568495577711	9.80861338673196	8.60652620871225	5.85412389489464	8.7701775102146	7.22412749380903	2.13036476512	2.28262202802137	3.32715646384113	6.39273561763077	8.32814943347851
5_TxWk	15.2449127718475	15.1205778274669	14.5679857947939	14.8946590498432	15.8746040712793	11.9495497840027	13.5813106956174	11.755776401666	12.5151065005541	14.7143635306102	13.9688765732841	14.6862655878028	13.6574696877775	12.0217824907426
6_EnhG	0.485125954700182	0.322651696636183	0.346381589504185	0.250416114558338	0.703165011880609	1.28947769844958	0.62215618089657	1.01323875031543	1.12209041875285	0.354394006472384	0.394571227470423	0.425478597476936	0.666297380707446	0.72344528065817
7_Enh	1.43568267355178	3.71007685344473	4.46620790193167	2.10831376224713	3.18110180835841	3.58014363479467	3.59779660346336	4.36864692533387	4.47407396986745	4.17693409836599	4.88771536005339	3.87265537244765	4.20748595394477	2.475259059442
8_ZNF/Rpts	0.228253190467	0.127891236614615	0.222143187176627	0.170886137164372	0.459618018081386	0.250835569063965	0.162265295625299	0.363522701594858	0.354510936249139	0.178186193801336	0.0997089185407151	0.147013890262748	0.304529028514152	0.350863927134957
9_Het	2.06852255736774	0.536756310700527	1.02749467062975	0.710889847684047	1.77600270803156	1.58431719401775	0.924969336211407	2.01772904040382	1.46556685041388	0.961493229320312	0.779074843677254	0.432996353229008	1.33945292922898	2.22770677605684
